rank,name,sex,origin,frequency
852,Ülker,M,turkish,
853,Berat,M,turkish,
854,Kubilay,M,turkish,
855,Sadullah,M,turkish,
856,Nezihe,F,turkish,
857,Feriha,F,turkish,
858,Esmer,M,turkish,
859,Edip,M,turkish,
860,Himmet,M,turkish,
861,Ayça,F,turkish,
862,Yıldıray,M,turkish,
863,Işıl,F,turkish,
864,Tenzile,F,turkish,
865,Sara,F,turkish,
866,Numan,M,turkish,
867,Sitki,M,turkish,
868,Nebiye,F,turkish,
869,Nebi,M,turkish,
870,Mümine,F,turkish,
871,Tacettin,M,turkish,
872,Durkadin,F,turkish,
873,Namık,M,turkish,
874,Beyaz,M,turkish,
875,Fatoş,F,turkish,
876,Nedime,F,turkish,
877,Güllüzar,F,turkish,
878,Aşkın,M,turkish,
879,Atike,F,turkish,
880,Kaya,M,turkish,
881,Narin,F,turkish,
882,Necat,M,turkish,
883,Mülkiye,F,turkish,
884,Mercan,M,turkish,
885,Gürcan,M,turkish,
886,Kahraman,M,turkish,
887,Ceyhun,M,turkish,
888,Abdulvahap,M,turkish,
889,Salihe,F,turkish,
890,Tugay,M,turkish,
891,Hümeyra,F,turkish,
892,Gülfidan,F,turkish,
893,Birsel,M,turkish,
894,Seydi,M,turkish,
895,Sacide,F,turkish,
896,Yener,M,turkish,
897,Yiğit,M,turkish,
898,Memnune,F,turkish,
899,Nadide,F,turkish,
900,Raif,M,turkish,
901,Sare,F,turkish,
902,Feridun,M,turkish,
903,Mete,M,turkish,
904,Rümeysa,F,turkish,
905,Şebnem,F,turkish,
906,Lütfü,M,turkish,
907,Menderes,M,turkish,
908,Zühre,F,turkish,
909,Sezen,M,turkish,
910,Beşir,M,turkish,
911,Alpaslan,M,turkish,
912,Asya,F,turkish,
913,Bektaş,M,turkish,
914,Islam,M,turkish,
915,Zinnet,F,turkish,
916,Melis,F,turkish,
917,Gökmen,M,turkish,
918,Enis,M,turkish,
919,Kamer,M,turkish,
920,Vehbi,M,turkish,
921,Ferdane,F,turkish,
922,Hakime,F,turkish,
923,Kürşat,M,turkish,
924,Eser,M,turkish,
925,Saide,F,turkish,
926,Ikram,M,turkish,
927,Ceyhan,M,turkish,
928,Alim,M,turkish,
929,Hale,F,turkish,
930,Begüm,F,turkish,
931,Rahim,M,turkish,
932,Hacire,F,turkish,
933,Erman,M,turkish,
934,Sonay,M,turkish,
935,Şinasi,M,turkish,
936,Sebile,F,turkish,
937,Imam,M,turkish,
938,Mazlum,M,turkish,
939,Ünzüle,F,turkish,
940,Bediha,F,turkish,
941,Besra,F,turkish,
942,Vural,M,turkish,
943,Satiye,F,turkish,
944,Nezir,M,turkish,
945,Erdi,M,turkish,
946,Gülderen,F,turkish,
947,Penbe,F,turkish,
948,Fadimana,F,turkish,
949,Görkem,M,turkish,
950,Tuğrul,M,turkish,
951,Müberra,F,turkish,
952,Aydan,M,turkish,
953,Neşet,M,turkish,
954,Mecbure,F,turkish,
955,Muhsine,F,turkish,
956,Muhlis,M,turkish,
957,Ganime,F,turkish,
958,Fesih,M,turkish,
959,Seniha,F,turkish,
960,Habib,M,turkish,
961,Vahap,M,turkish,
962,Nazile,F,turkish,
963,Yonca,F,turkish,
964,Memiş,M,turkish,
965,Şahide,F,turkish,
966,Seyfullah,M,turkish,
967,Altan,M,turkish,
968,Nihan,M,turkish,
969,Ismihan,M,turkish,
970,Burhanettin,M,turkish,
971,Ulaş,M,turkish,
972,Zennure,F,turkish,
973,Tanju,M,turkish,
974,Abdulhamit,M,turkish,
975,Şuayip,M,turkish,
976,Serhan,M,turkish,
977,Gülfer,F,turkish,
978,Nevim,F,turkish,
