rank,name,origin,frequency
946,Agnieszka,flemish,797
947,Hildegarde,flemish,797
948,Antonius,flemish,796
949,Sabina,flemish,792
950,Juliana,flemish,788
951,Nataliia,flemish,787
952,Norah,flemish,786
953,Lola,flemish,785
954,Thor,flemish,782
955,Constantin,flemish,781
956,Ashley,flemish,781
957,Mahmoud,flemish,780
958,Inès,flemish,779
959,Tijl,flemish,778
960,Céleste,flemish,775
961,Leyla,flemish,774
962,Tomas,flemish,772
963,Laurette,flemish,769
964,Adriaan,flemish,767
965,Augusta,flemish,766
966,Tobias,flemish,765
967,Mathilde,flemish,765
968,Saar,flemish,763
969,Marius,flemish,762
970,Lieselotte,flemish,759
971,Roeland,flemish,757
972,Jari,flemish,754
973,Cornelis,flemish,752
974,Ina,flemish,752
975,Annemieke,flemish,751
976,Gabriela,flemish,749
977,Imke,flemish,747
978,Igor,flemish,746
979,Larissa,flemish,746
980,Ramazan,flemish,744
981,Daniella,flemish,741
982,Machteld,flemish,741
983,Sterre,flemish,741
984,Nel,flemish,741
985,Frida,flemish,740
986,Pol,flemish,739
987,Leentje,flemish,738
988,Jeremy,flemish,736
989,Laila,flemish,736
990,Maxine,flemish,736
991,Gerry,flemish,735
992,Elsje,flemish,728
993,Malak,flemish,727
994,Nolan,flemish,724
995,Alyssa,flemish,723
996,Paulina,flemish,720
997,Cristina,flemish,720
998,Babette,flemish,720
999,Edgard,flemish,719
1000,Jérôme,flemish,719
