rank,name,origin,frequency
609,Kerremans,flemish,1021
610,Audenaert,flemish,1019
611,Blockx,flemish,1018
612,Windels,flemish,1018
613,Schollaert,flemish,1017
614,Frans,flemish,1016
615,Spruyt,flemish,1015
616,Demey,flemish,1015
617,Achten,flemish,1011
618,Aken,flemish,1010
619,Wever,flemish,1010
620,Theunissen,flemish,1010
621,Vandersmissen,flemish,1009
622,Hofmans,flemish,1008
623,Cooman,flemish,1008
624,Creemers,flemish,1007
625,Truyens,flemish,1006
626,Vooren,flemish,1005
627,Provoost,flemish,1004
628,Herremans,flemish,1000
629,Meulemans,flemish,1000
630,Buck,flemish,999
631,Vanhaverbeke,flemish,998
632,Geysen,flemish,997
633,Meuleman,flemish,997
634,Haegeman,flemish,994
635,Gurung,flemish,993
636,Vandeput,flemish,993
637,Vandevoorde,flemish,993
638,Embrechts,flemish,992
639,Verplancke,flemish,992
640,Danneels,flemish,990
641,Hannes,flemish,989
642,Nagels,flemish,987
643,Pelgrims,flemish,987
644,Geest,flemish,986
645,Bielen,flemish,986
646,Hendrix,flemish,985
647,Carpentier,flemish,979
648,Malderen,flemish,974
649,Jaspers,flemish,973
650,Wille,flemish,972
651,Billen,flemish,970
652,Briers,flemish,968
653,Bloemen,flemish,966
654,Eyckmans,flemish,964
655,De Velde,flemish,964
656,Duyck,flemish,964
657,Coomans,flemish,963
658,Peetermans,flemish,963
659,Berisha,flemish,961
660,Decorte,flemish,959
661,Thielemans,flemish,958
662,Mechelen,flemish,957
663,Gerits,flemish,957
664,Verbeek,flemish,956
665,Lootens,flemish,954
666,Verachtert,flemish,951
667,Prins,flemish,951
668,Buytaert,flemish,950
669,Mohamed,flemish,949
670,Goeminne,flemish,948
671,Ahmadi,flemish,947
672,Degraeve,flemish,946
673,Evens,flemish,944
674,Deroo,flemish,944
675,Struyf,flemish,943
676,Lefevre,flemish,943
677,Franck,flemish,942
678,Vlieger,flemish,942
679,Balcaen,flemish,941
680,Croes,flemish,940
681,Wagemans,flemish,938
682,Buggenhout,flemish,938
683,Dries,flemish,936
684,Vanden Berghe,flemish,935
685,Biesmans,flemish,933
686,Huygens,flemish,931
687,Velghe,flemish,931
688,Vantomme,flemish,930
689,Jordens,flemish,929
690,Soete,flemish,926
691,Vanherck,flemish,925
692,Ceuster,flemish,924
693,Verschaeve,flemish,923
694,Broos,flemish,922
695,Cocquyt,flemish,922
696,Six,flemish,921
697,Dejonckheere,flemish,921
698,Vyncke,flemish,920
699,Tytgat,flemish,920
700,Boons,flemish,918
701,Hoornaert,flemish,918
702,Meeusen,flemish,917
703,Strobbe,flemish,917
704,Dirkx,flemish,916
705,Bergmans,flemish,915
706,Nieuwenhove,flemish,915
707,Eerdekens,flemish,915
708,Depoortere,flemish,914
709,Chen,flemish,912
710,Blanckaert,flemish,912
711,Franssen,flemish,911
712,Riet,flemish,910
713,Adriaens,flemish,909
714,Ryckaert,flemish,908
715,Troyer,flemish,908
716,Poorter,flemish,908
717,Schoeters,flemish,905
718,Geeroms,flemish,905
719,Jespers,flemish,904
720,Sonck,flemish,904
721,Elsen,flemish,904
722,Cool,flemish,903
723,Vanhecke,flemish,902
724,Maesen,flemish,901
725,Billiet,flemish,901
726,Plessers,flemish,901
727,Dam,flemish,900
728,Munck,flemish,900
729,Roey,flemish,900
730,Voets,flemish,900
731,Saenen,flemish,899
732,Snoeck,flemish,899
733,Man,flemish,898
734,Hasan,flemish,897
735,Vandermeulen,flemish,894
736,Vandebroek,flemish,893
737,Boeykens,flemish,892
738,Lens,flemish,892
739,Tielens,flemish,892
740,Cauwenbergh,flemish,891
741,Gevers,flemish,890
742,Haes,flemish,890
743,Knaepen,flemish,890
744,Daelemans,flemish,884
745,D'Haese,flemish,884
746,Wispelaere,flemish,884
747,Branden,flemish,883
748,Verschuere,flemish,883
